Engine_RatedPower_kw,Engine_Displacement_ltr,Engine_IdlingSpeed_rpm,Engine_RatedSpeed_rpm,GrossVehicleMass_t,CurbMassChassis_kg,Gearbox_TransmissionRatioFinalGear,Gearbox_TransmissionType,Gearbox_GearsCount,RDL_CO2_gkm,RDR_CO2_gkm,LHL_CO2_gkm,LHR_CO2_gkm,y0,y1,y2,y3,CO2v
0.4229607250755287,0.5135135135135137,0.46296296296296297,0.0,0.4782608695652174,0.6964102564102564,1.0,0.0,0.6,0.23793333333333333,0.2934,0.2273,0.2943,0.2305178,0.28628793,0.22058804,0.2884052,823.37
0.4229607250755287,0.4594594594594596,0.9259259259259259,0.6666666666666666,0.391304347826087,0.4023076923076923,1.0,0.0,0.6,0.22266666666666668,0.2773333333333333,0.2134333333333333,0.2797,0.22478268,0.28036624,0.21482931,0.28176153,779.79
0.3776435045317221,0.5135135135135137,0.9259259259259259,0.6666666666666666,0.40000000000000013,0.3905128205128205,1.0,0.0,0.6,0.23066666666666666,0.28836666666666666,0.22113333333333332,0.28983333333333333,0.22647923,0.28210717,0.21657003,0.2837693,808.22
0.28700906344410876,0.5135135135135137,0.0,0.0,0.30434782608695654,0.41307692307692306,1.0,0.0,0.6,0.23270000000000002,0.28536666666666666,0.226,0.2896666666666667,0.22814476,0.28385064,0.21825625,0.2857302,811.4
0.36253776435045315,0.5270270270270272,0.46296296296296297,0.0,0.4782608695652174,0.5402564102564102,1.0,0.0,0.6,0.2303,0.2862,0.21983333333333333,0.28873333333333334,0.2290236,0.28476626,0.2191494,0.2867575,804.6
0.36253776435045315,0.5270270270270272,0.46296296296296297,0.0,0.4782608695652174,0.5428205128205128,1.0,0.0,0.6,0.22883333333333333,0.2827,0.2188,0.28553333333333336,0.22910392,0.28485033,0.2192306,0.2868518,796.85
0.4229607250755287,0.5135135135135137,0.46296296296296297,0.0,0.4782608695652174,0.7605128205128205,1.0,0.0,0.6,0.24159999999999998,0.29696666666666666,0.23123333333333335,0.29873333333333335,0.2317135,0.2875674,0.22157696,0.28966066,836.01
0.28700906344410876,0.5135135135135137,0.0,0.0,0.30434782608695654,0.46102564102564103,1.0,0.0,0.6,0.22573333333333334,0.28140000000000004,0.21583333333333332,0.2838333333333333,0.22771373,0.2833998,0.2178184,0.2852238,790.68
0.46827794561933533,0.5270270270270272,0.46296296296296297,0.25,0.5652173913043478,0.617948717948718,1.0,0.0,0.6,0.23540000000000003,0.29186666666666666,0.22396666666666665,0.2927,0.23331565,0.29027614,0.22316934,0.29190886,817.09
0.33534743202416917,0.4594594594594596,0.9259259259259259,0.6666666666666666,0.391304347826087,0.4023076923076923,1.0,0.0,0.6,0.2245,0.2782,0.2149333333333333,0.28,0.22466365,0.2802431,0.21470782,0.2816212,781.92
0.4229607250755287,0.4594594594594596,0.9259259259259259,0.6666666666666666,0.391304347826087,0.4176923076923077,1.0,0.0,0.6,0.22563333333333332,0.28290000000000004,0.21586666666666668,0.2848333333333333,0.22476783,0.28034896,0.21481526,0.28174484,792.9
0.4229607250755287,0.5135135135135137,0.46296296296296297,0.6666666666666666,0.21739130434782608,0.3823076923076923,1.0,0.0,0.6,0.24703333333333335,0.3016333333333333,0.2422,0.30673333333333336,0.23224553,0.2886892,0.22228642,0.29063997,861.48
0.3323262839879154,0.5135135135135137,0.46296296296296297,0.6666666666666666,0.4782608695652174,0.67,1.0,0.0,0.6,0.25483333333333336,0.31420000000000003,0.2458,0.31756666666666666,0.23776373,0.29514137,0.22781579,0.29695925,888.22
0.28700906344410876,0.5135135135135137,0.0,0.0,0.30434782608695654,0.45974358974358975,1.0,0.0,0.6,0.22963333333333333,0.2846666666666667,0.22003333333333333,0.28773333333333334,0.22772774,0.28341436,0.2178327,0.28524032,802.49
0.28700906344410876,0.5135135135135137,0.0,0.0,0.30434782608695654,0.428974358974359,1.0,0.0,0.6,0.2187,0.2724333333333333,0.20879999999999999,0.27363333333333334,0.22800946,0.28370887,0.21811886,0.28557134,763.19
0.36253776435045315,0.5270270270270272,0.46296296296296297,0.0,0.4782608695652174,0.6248717948717949,1.0,0.0,0.6,0.24866666666666667,0.3036333333333333,0.2417,0.3096333333333333,0.22987798,0.285645,0.22002243,0.28777453,867.13
0.28700906344410876,0.5135135135135137,0.0,0.0,0.30434782608695654,0.4635897435897436,1.0,0.0,0.6,0.22590000000000002,0.28159999999999996,0.21603333333333333,0.28409999999999996,0.2276878,0.28337285,0.21779202,0.28519326,791.4
0.4229607250755287,0.5135135135135137,0.46296296296296297,0.6666666666666666,0.4782608695652174,0.5725641025641026,1.0,0.0,0.6,0.23529999999999998,0.2944,0.2240666666666667,0.29483333333333334,0.2344122,0.29160717,0.22421126,0.29319423,821.73
0.36253776435045315,0.5270270270270272,0.46296296296296297,0.0,0.4782608695652174,0.47025641025641024,1.0,0.0,0.6,0.24766666666666667,0.3037,0.24136666666666667,0.31093333333333334,0.22540599,0.28099564,0.21547925,0.2825019,869.24
0.36253776435045315,0.5270270270270272,0.46296296296296297,0.0,0.4782608695652174,0.42333333333333334,1.0,0.0,0.6,0.2535,0.3080333333333333,0.2489,0.31666666666666665,0.22492933,0.2805032,0.2149931,0.28194046,887.61
0.36253776435045315,0.5270270270270272,0.46296296296296297,0.0,0.4782608695652174,0.4907692307692308,1.0,0.0,0.6,0.22443333333333332,0.2783333333333333,0.2139,0.2808,0.22582403,0.28142947,0.21590377,0.2829939,782.62
