Engine_RatedPower_kw,Engine_Displacement_ltr,Engine_IdlingSpeed_rpm,Engine_RatedSpeed_rpm,GrossVehicleMass_t,CurbMassChassis_kg,Gearbox_TransmissionRatioFinalGear,Gearbox_TransmissionType,Gearbox_GearsCount,RDL_CO2_gkm,RDR_CO2_gkm,LHL_CO2_gkm,LHR_CO2_gkm,y0,y1,y2,y3,CO2v
0.22063037249283668,0.2680412371134021,0.2,0.42857142857142855,0.4,0.3754143248306672,1.0,0.0,0.2,0.1951,0.2253,0.25473333333333337,0.32256666666666667,0.1885759,0.2178168,0.24566649,0.31365207,674.51
0.27793696275071633,0.42268041237113413,0.5,0.2857142857142857,0.5,0.4369505692462891,1.0,0.0,0.6,0.2025,0.23173333333333335,0.2639333333333333,0.3306,0.20261215,0.23223814,0.26431388,0.3319986,695.18
0.22063037249283668,0.2680412371134021,0.5,0.42857142857142855,0.35,0.45381178844213865,1.0,0.0,0.6,0.18816666666666668,0.21916666666666668,0.24563333333333331,0.31526666666666664,0.18792652,0.21719298,0.24505262,0.31301278,654.95
0.4068767908309456,0.6288659793814434,0.5,0.2857142857142857,0.4,0.44055339386078685,1.0,0.0,0.6,0.20646666666666666,0.2355,0.26776666666666665,0.3353333333333333,0.19243173,0.22159824,0.2496651,0.31779146,706.85
0.27793696275071633,0.42268041237113413,0.5,0.2857142857142857,0.9,0.41475716962098286,1.0,0.0,0.6,0.19240000000000002,0.22193333333333332,0.25383333333333336,0.3223,0.2014046,0.23081827,0.26208735,0.32958418,665.83
0.3868194842406877,0.42268041237113413,0.5,0.2857142857142857,0.4,0.34529471105346593,1.0,0.0,0.6,0.18746666666666667,0.21453333333333335,0.2477,0.31070000000000003,0.20171396,0.23129779,0.2630936,0.3307536,644.86
0.42120343839541546,0.4123711340206185,0.0,0.0,0.3,0.40625450353076814,1.0,0.0,0.6,0.19846666666666665,0.22766666666666666,0.25926666666666665,0.3273333333333333,0.19884694,0.2282722,0.25881672,0.32652992,683.12
0.05157593123209169,0.2680412371134021,0.2,0.42857142857142855,0.7,0.4029399048854302,1.0,0.0,0.2,0.18733333333333332,0.21746666666666667,0.24283333333333335,0.30926666666666663,0.19050567,0.21968293,0.24751203,0.31559825,649.55
0.1489971346704871,0.10309278350515465,0.25,0.7142857142857143,0.35,0.2857760484219628,0.3055555555555555,1.0,0.2,0.29993333333333333,0.32803333333333334,0.3628666666666666,0.42419999999999997,0.21005137,0.24040687,0.27305993,0.3433596,984.67
0.3667621776504298,0.5876288659793815,0.5,0.2857142857142857,0.4,0.32439832828937887,1.0,0.0,0.6,0.1795,0.20829999999999999,0.23786666666666667,0.3050333333333333,0.18834615,0.21759489,0.24544871,0.31343144,624.55
0.3868194842406877,0.42268041237113413,0.5,0.2857142857142857,0.4,0.3762790027381467,0.40277777777777785,0.0,0.6,0.22636666666666666,0.25556666666666666,0.2917666666666667,0.36063333333333336,0.22776832,0.2575491,0.29147536,0.36116108,768.37
0.09169054441260745,0.10309278350515465,0.5,0.2857142857142857,0.3,0.2815967718691454,0.027777777777777804,0.5,0.0,,,,,0.2309614,0.26133102,0.29557413,0.36714467,1673.45
0.1346704871060172,0.020618556701030948,0.5,0.8571428571428571,0.3,0.18475284623144544,0.4805555555555554,0.0,0.6,0.194,0.22923333333333334,0.2644666666666667,0.3425,0.2015856,0.2343683,0.2715096,0.34356278,686.12
0.40974212034383956,0.6185567010309277,0.0,0.42857142857142855,0.4,0.40798385934572706,1.0,0.0,0.6,0.19186666666666669,0.2195,0.24973333333333333,0.31406666666666666,0.19021727,0.21939102,0.24721684,0.31527948,658.7
0.12893982808022922,0.0,1.0,1.0,0.5,0.3223807465052601,0.4805555555555554,0.0,0.6,,,,,0.2014939,0.23360223,0.26980096,0.3417814,1511.53
0.4498567335243553,0.42268041237113413,0.5,0.2857142857142857,0.4,0.3680645626170918,1.0,0.0,0.6,0.2085,0.23996666666666666,0.27113333333333334,0.34419999999999995,0.20247257,0.23208782,0.26419592,0.33184797,719.11
0.4297994269340974,0.5876288659793815,0.5,0.2857142857142857,0.3,0.3687851275399914,1.0,0.0,0.6,0.1925,0.22133333333333333,0.25046666666666667,0.31823333333333337,0.18791316,0.21718118,0.24504052,0.3129949,663.62
0.2349570200573066,0.42268041237113413,0.25,0.0,0.4,0.3561031848969592,1.0,1.0,1.0,,,,,0.18662713,0.21594658,0.24382526,0.31172505,1452.0
0.15759312320916904,0.23711340206185566,0.5,0.2857142857142857,0.4,0.29557573137339677,1.0,0.0,0.6,0.20646666666666666,0.23640000000000003,0.2707,0.33740000000000003,0.18798299,0.21724743,0.24510612,0.31306764,709.25
0.1489971346704871,0.10309278350515465,0.25,0.7142857142857143,0.5,0.3124369505692463,1.0,0.0,0.6,0.19153333333333333,0.22003333333333333,0.2555,0.3208,0.20340468,0.23370954,0.2673093,0.33643323,661.37
0.09169054441260745,0.10309278350515465,0.5,0.2857142857142857,0.3,0.2679060383340539,0.027777777777777804,0.5,0.0,,,,,0.23033695,0.2607238,0.29457724,0.36635318,1650.67
0.09169054441260745,0.10309278350515465,0.5,0.2857142857142857,0.3,0.26718547341115434,0.027777777777777804,0.5,0.0,,,,,0.23030503,0.26069275,0.29452637,0.36631274,1670.0
0.27793696275071633,0.42268041237113413,0.5,0.2857142857142857,0.4,0.38607868568958065,1.0,0.0,0.6,0.19026666666666664,0.22096666666666667,0.25229999999999997,0.3224,0.20116635,0.23071927,0.26224464,0.32991758,662.15
